 Corr.Time[ms]           Correlation(1->2+2->1)  Weighting(1->2+2->1)    Correlation(1->2)       Weighting(1->2)         Correlation(2->1)       Weighting(2->1)
 1.42501667141914E-0003  1.09204774682437E+0001  5.83044057005092E-0001  1.09204774682437E+0001  5.83044057005092E-0001  1.09204774682437E+0001  5.83044057005092E-0001
 1.52501778211444E-0003  2.95391826684392E+0000  4.59155685177208E-0001  2.95391826684392E+0000  4.59155685177208E-0001  2.95391826684392E+0000  4.59155685177208E-0001
 1.62501900922507E-0003  2.92089566363236E+0000  2.45487252050269E-0001  2.92089566363236E+0000  2.45487252050269E-0001  2.92089566363236E+0000  2.45487252050269E-0001
 1.72502011992037E-0003  9.93470514742647E-0001  6.07045823148515E-0001  9.93470514742647E-0001  6.07045823148515E-0001  9.93470514742647E-0001  6.07045823148515E-0001
 1.82502134703100E-0003  9.60447884936357E-0001  4.90946730184448E-0001  9.60447884936357E-0001  4.90946730184448E-0001  9.60447884936357E-0001  4.90946730184448E-0001
 1.97502295486629E-0003  2.98694118894976E+0000  3.11970492435879E-0001  2.98694118894976E+0000  3.11970492435879E-0001  2.98694118894976E+0000  3.11970492435879E-0001
 2.17502540908754E-0003 -1.00000000000000E+0000  1.01247152654712E+0001 -1.00000000000000E+0000  1.01247152654712E+0001 -1.00000000000000E+0000  1.01247152654712E+0001
 2.37502763047814E-0003  6.86798073097534E+0000  3.36316308959801E-0001  6.86798073097534E+0000  3.36316308959801E-0001  6.86798073097534E+0000  3.36316308959801E-0001
 2.57503008469939E-0003  9.76959425678229E-0001  8.91385671089711E-0001  9.76959425678229E-0001  8.91385671089711E-0001  9.76959425678229E-0001  8.91385671089711E-0001
 2.77503230609000E-0003 -2.75577350112872E-0002  8.73993899754219E-0001 -2.75577350112872E-0002  8.73993899754219E-0001 -2.75577350112872E-0002  8.73993899754219E-0001
 2.97503476031125E-0003  9.76959531953257E-0001  8.91385625920640E-0001  9.76959531953257E-0001  8.91385625920640E-0001  9.76959531953257E-0001  8.91385625920640E-0001
 3.17503698170185E-0003  5.87997564268004E+0000  2.18620278405125E-0001  5.87997564268004E+0000  2.18620278405125E-0001  5.87997564268004E+0000  2.18620278405125E-0001
 3.37503943592310E-0003 -1.00000000000000E+0000  1.01247152654712E+0001 -1.00000000000000E+0000  1.01247152654712E+0001 -1.00000000000000E+0000  1.01247152654712E+0001
