 Corr.Time[ms]           Correlation(1->2+2->1)  Weighting(1->2+2->1)    Correlation(1->2)       Weighting(1->2)         Correlation(2->1)       Weighting(2->1)
 8.27510841190815E-0003  1.53690370904694E+0000  3.28410995990892E+0000  1.53690370904694E+0000  3.28410995990892E+0000  1.53690370904694E+0000  3.28410995990892E+0000
 9.07511822879314E-0003  2.12018077602722E+0000  5.20555124599058E+0000  2.12018077602722E+0000  5.20555124599058E+0000  2.12018077602722E+0000  5.20555124599058E+0000
 9.87512897700071E-0003  1.90374989203374E+0000  2.47067778406954E+0000  1.90374989203374E+0000  2.47067778406954E+0000  1.90374989203374E+0000  2.47067778406954E+0000
 1.06751397252082E-0002  1.57320867434904E+0000  1.63159883642190E+0001  1.57320867434904E+0000  1.63159883642190E+0001  1.57320867434904E+0000  1.63159883642190E+0001
 1.14751495420932E-0002  1.47300721847038E+0000  1.59493581549317E+0001  1.47300721847038E+0000  1.59493581549317E+0001  1.47300721847038E+0000  1.59493581549317E+0001
 1.22751602903008E-0002  1.47827555958127E+0000  1.31494954054796E+0001  1.47827555958127E+0000  1.31494954054796E+0001  1.47827555958127E+0000  1.31494954054796E+0001
 1.30751710385084E-0002  1.43440143036900E+0000  2.12639144410286E+0000  1.43440143036900E+0000  2.12639144410286E+0000  1.43440143036900E+0000  2.12639144410286E+0000
 1.38751808553934E-0002  1.85463212042184E+0000  5.42270743549837E+0000  1.85463212042184E+0000  5.42270743549837E+0000  1.85463212042184E+0000  5.42270743549837E+0000
 1.46751916036009E-0002  1.73587427650476E+0000  2.40253768199513E+0000  1.73587427650476E+0000  2.40253768199513E+0000  1.73587427650476E+0000  2.40253768199513E+0000
 1.54752023518085E-0002  1.12376769996099E+0000  5.20402571543243E+0000  1.12376769996099E+0000  5.20402571543243E+0000  1.12376769996099E+0000  5.20402571543243E+0000
