 Corr.Time[ms]           Correlation(1->2+2->1)  Weighting(1->2+2->1)    Correlation(1->2)       Weighting(1->2)         Correlation(2->1)       Weighting(2->1)
 1.42501818481832E-0003 -1.00000000000000E+0000  2.57056434385242E+0000 -1.00000000000000E+0000  2.57056434385242E+0000 -1.00000000000000E+0000  2.57056434385242E+0000
 1.52501941192895E-0003 -1.00000000000000E+0000  2.57056434385242E+0000 -1.00000000000000E+0000  2.57056434385242E+0000 -1.00000000000000E+0000  2.57056434385242E+0000
 1.62502075545490E-0003 -1.00000000000000E+0000  2.57056434385242E+0000 -1.00000000000000E+0000  2.57056434385242E+0000 -1.00000000000000E+0000  2.57056434385242E+0000
 1.72502198256552E-0003 -1.00000000000000E+0000  2.57056434385242E+0000 -1.00000000000000E+0000  2.57056434385242E+0000 -1.00000000000000E+0000  2.57056434385242E+0000
 1.82502320967615E-0003 -1.00000000000000E+0000  2.57056434385242E+0000 -1.00000000000000E+0000  2.57056434385242E+0000 -1.00000000000000E+0000  2.57056434385242E+0000
 1.97502505034208E-0003 -1.00000000000000E+0000  2.57056434385242E+0000 -1.00000000000000E+0000  2.57056434385242E+0000 -1.00000000000000E+0000  2.57056434385242E+0000
 2.17502773739398E-0003 -1.00000000000000E+0000  2.57056434385242E+0000 -1.00000000000000E+0000  2.57056434385242E+0000 -1.00000000000000E+0000  2.57056434385242E+0000
 2.37503019161522E-0003 -1.00000000000000E+0000  2.57056434385242E+0000 -1.00000000000000E+0000  2.57056434385242E+0000 -1.00000000000000E+0000  2.57056434385242E+0000
 2.57503287866712E-0003  4.62652363507580E+0000  2.19843899030617E-0001  4.62652363507580E+0000  2.19843899030617E-0001  4.62652363507580E+0000  2.19843899030617E-0001
 2.77503533288836E-0003  4.84741406984004E+0000  2.00349970255752E-0001  4.84741406984004E+0000  2.00349970255752E-0001  4.84741406984004E+0000  2.00349970255752E-0001
 2.97503801994026E-0003  9.90870909199128E+0000  1.73930952251954E-0001  9.90870909199128E+0000  1.73930952251954E-0001  9.90870909199128E+0000  1.73930952251954E-0001
 3.17504047416151E-0003 -1.00000000000000E+0000  2.57056434385242E+0000 -1.00000000000000E+0000  2.57056434385242E+0000 -1.00000000000000E+0000  2.57056434385242E+0000
 3.37504292838275E-0003  4.62652616262843E+0000  2.19843804534932E-0001  4.62652616262843E+0000  2.19843804534932E-0001  4.62652616262843E+0000  2.19843804534932E-0001
 3.57504561543465E-0003 -1.00000000000000E+0000  2.57056434385242E+0000 -1.00000000000000E+0000  2.57056434385242E+0000 -1.00000000000000E+0000  2.57056434385242E+0000
 3.77504806965590E-0003 -1.00000000000000E+0000  2.57056434385242E+0000 -1.00000000000000E+0000  2.57056434385242E+0000 -1.00000000000000E+0000  2.57056434385242E+0000
 4.07505175098777E-0003  1.92370924652948E+0000  3.86469691229730E-0001  1.92370924652948E+0000  3.86469691229730E-0001  1.92370924652948E+0000  3.86469691229730E-0001
 4.47505712509155E-0003  2.60295413014826E+0000  1.19234274597541E-0001  2.60295413014826E+0000  1.19234274597541E-0001  2.60295413014826E+0000  1.19234274597541E-0001
 4.87506203353405E-0003  1.92371051030782E+0000  3.86469536775885E-0001  1.92371051030782E+0000  3.86469536775885E-0001  1.92371051030782E+0000  3.86469536775885E-0001
 5.27506740763783E-0003  7.55024362371737E+0000  2.19078724863887E-0001  7.55024362371737E+0000  2.19078724863887E-0001  7.55024362371737E+0000  2.19078724863887E-0001
 5.67507231608033E-0003  1.92371177408726E+0000  3.86469382322029E-0001  1.92371177408726E+0000  3.86469382322029E-0001  1.92371177408726E+0000  3.86469382322029E-0001
 6.07507722452283E-0003 -1.00000000000000E+0000  2.57056434385242E+0000 -1.00000000000000E+0000  2.57056434385242E+0000 -1.00000000000000E+0000  2.57056434385242E+0000
 6.47508259862661E-0003  1.92371303786778E+0000  3.86469227868163E-0001  1.92371303786778E+0000  3.86469227868163E-0001  1.92371303786778E+0000  3.86469227868163E-0001
 6.87508750706911E-0003  1.12636540293222E+0001  1.41139583852679E-0001  1.12636540293222E+0001  1.41139583852679E-0001  1.12636540293222E+0001  1.41139583852679E-0001
 7.27509288117290E-0003  1.92371430164940E+0000  3.86469073414284E-0001  1.92371430164940E+0000  3.86469073414284E-0001  1.92371430164940E+0000  3.86469073414284E-0001
 7.67509778961539E-0003  1.81327003210427E+0000  4.20441687100844E-0001  1.81327003210427E+0000  4.20441687100844E-0001  1.81327003210427E+0000  4.20441687100844E-0001
 8.27510561794043E-0003  3.52866632995332E+0000  2.96415065175595E-0001  3.52866632995332E+0000  2.96415065175595E-0001  3.52866632995332E+0000  2.96415065175595E-0001
 9.07511543482542E-0003 -1.00000000000000E+0000  2.57056434385242E+0000 -1.00000000000000E+0000  2.57056434385242E+0000 -1.00000000000000E+0000  2.57056434385242E+0000
 9.87512618303299E-0003  3.52867011729858E+0000  2.96414842124605E-0001  3.52867011729858E+0000  2.96414842124605E-0001  3.52867011729858E+0000  2.96414842124605E-0001
 1.06751359999179E-0002  1.64110469430765E+0000  3.76287913764875E-0001  1.64110469430765E+0000  3.76287913764875E-0001  1.64110469430765E+0000  3.76287913764875E-0001
 1.14751458168029E-0002  1.78241360327794E+0000  5.98125124071745E-0001  1.78241360327794E+0000  5.98125124071745E-0001  1.78241360327794E+0000  5.98125124071745E-0001
 1.22751565650105E-0002  1.92372251625654E+0000  3.86468069463800E-0001  1.92372251625654E+0000  3.86468069463800E-0001  1.92372251625654E+0000  3.86468069463800E-0001
 1.30751663818955E-0002  6.39717902133861E+0000  3.96041662202527E-0001  6.39717902133861E+0000  3.96041662202527E-0001  6.39717902133861E+0000  3.96041662202527E-0001
 1.38751771301031E-0002 -1.00000000000000E+0000  2.57056434385242E+0000 -1.00000000000000E+0000  2.57056434385242E+0000 -1.00000000000000E+0000  2.57056434385242E+0000
 1.46751869469881E-0002  6.65072225564685E+0000  1.34170319983821E-0001  6.65072225564685E+0000  1.34170319983821E-0001  6.65072225564685E+0000  1.34170319983821E-0001
 1.54751967638731E-0002  5.24408407612314E+0000  1.26180656357158E-0001  5.24408407612314E+0000  1.26180656357158E-0001  5.24408407612314E+0000  1.26180656357158E-0001
 1.66752133518457E-0002  1.75481121044111E+0000  7.33052779830584E-0001  1.75481121044111E+0000  7.33052779830584E-0001  1.75481121044111E+0000  7.33052779830584E-0001
 1.82752329856157E-0002  2.48574689068054E+0000  6.41686748268997E-0001  2.48574689068054E+0000  6.41686748268997E-0001  2.48574689068054E+0000  6.41686748268997E-0001
 1.98752526193857E-0002  4.79314002402967E+0000  1.87213735604289E+0000  4.79314002402967E+0000  1.87213735604289E+0000  4.79314002402967E+0000  1.87213735604289E+0000
 2.14752741158009E-0002  3.03233733462992E+0000  3.14738936413273E-0001  3.03233733462992E+0000  3.14738936413273E-0001  3.03233733462992E+0000  3.14738936413273E-0001
 2.30752937495708E-0002  1.99528620735012E+0000  8.41582602049104E-0001  1.99528620735012E+0000  8.41582602049104E-0001  1.99528620735012E+0000  8.41582602049104E-0001
 2.46753152459860E-0002  1.77025521934065E+0000  5.56641147691879E-0001  1.77025521934065E+0000  5.56641147691879E-0001  1.77025521934065E+0000  5.56641147691879E-0001
 2.62753348797560E-0002  3.55632111016651E+0000  3.09006012513616E-0001  3.55632111016651E+0000  3.09006012513616E-0001  3.55632111016651E+0000  3.09006012513616E-0001
 2.78753545135260E-0002  1.77026027057564E+0000  5.56640295340285E-0001  1.77026027057564E+0000  5.56640295340285E-0001  1.77026027057564E+0000  5.56640295340285E-0001
 2.94753760099411E-0002  4.50966279854993E+0000  4.14384819797726E-0001  4.50966279854993E+0000  4.14384819797726E-0001  4.50966279854993E+0000  4.14384819797726E-0001
 3.10753956437111E-0002  1.33501447317651E+0000  6.62761516143797E-0001  1.33501447317651E+0000  6.62761516143797E-0001  1.33501447317651E+0000  6.62761516143797E-0001
 3.34754250943661E-0002  3.63613872407392E-0001  1.04010615723519E+0000  3.63613872407392E-0001  1.04010615723519E+0000  3.63613872407392E-0001  1.04010615723519E+0000
 3.66754680871964E-0002  1.17946266700495E+0000  3.03833970542004E+0000  1.17946266700495E+0000  3.03833970542004E+0000  1.17946266700495E+0000  3.03833970542004E+0000
 3.98755073547363E-0002  3.36502281615222E+0000  7.58016783613224E-0001  3.36502281615222E+0000  7.58016783613224E-0001  3.36502281615222E+0000  7.58016783613224E-0001
 4.30755503475666E-0002  7.42898689621340E-0001  1.04791860526380E+0000  7.42898689621340E-0001  1.04791860526380E+0000  7.42898689621340E-0001  1.04791860526380E+0000
 4.62755896151066E-0002  4.94106958719256E+0000  5.77679390316764E-0001  4.94106958719256E+0000  5.77679390316764E-0001  4.94106958719256E+0000  5.77679390316764E-0001
 4.94756288826466E-0002  3.87749376275752E+0000  5.48958436466473E-0001  3.87749376275752E+0000  5.48958436466473E-0001  3.87749376275752E+0000  5.48958436466473E-0001
 5.26756718754768E-0002  3.16285470138454E+0000  4.77841439283756E-0001  3.16285470138454E+0000  4.77841439283756E-0001  3.16285470138454E+0000  4.77841439283756E-0001
 5.58757111430168E-0002  1.79020124235752E+0000  7.92528861723673E-0001  1.79020124235752E+0000  7.92528861723673E-0001  1.79020124235752E+0000  7.92528861723673E-0001
 5.90757541358471E-0002  3.18145157890624E+0000  5.32703121443084E-0001  3.18145157890624E+0000  5.32703121443084E-0001  3.18145157890624E+0000  5.32703121443084E-0001
 6.22757934033871E-0002  2.84522077859061E+0000  6.35330968112747E-0001  2.84522077859061E+0000  6.35330968112747E-0001  2.84522077859061E+0000  6.35330968112747E-0001
 6.70758560299873E-0002  2.57905903079697E+0000  7.24896230982641E-0001  2.57905903079697E+0000  7.24896230982641E-0001  2.57905903079697E+0000  7.24896230982641E-0001
 7.34759345650673E-0002  2.04748228494675E+0000  5.88966220262558E-0001  2.04748228494675E+0000  5.88966220262558E-0001  2.04748228494675E+0000  5.88966220262558E-0001
 7.98760205507278E-0002  1.76001653420912E+0000  1.40636855996526E+0000  1.76001653420912E+0000  1.40636855996526E+0000  1.76001653420912E+0000  1.40636855996526E+0000
