 Corr.Time[ms]           Correlation(1->2+2->1)  Weighting(1->2+2->1)    Correlation(1->2)       Weighting(1->2)         Correlation(2->1)       Weighting(2->1)
 1.42502505332231E-0003  2.30285741539462E+0000  1.05509049347595E+0000  2.30285741539462E+0000  1.05509049347595E+0000  2.30285741539462E+0000  1.05509049347595E+0000
 1.52502674609422E-0003  1.34410794870980E+0000  1.69354440302836E+0000  1.34410794870980E+0000  1.69354440302836E+0000  1.34410794870980E+0000  1.69354440302836E+0000
 1.62502855528146E-0003  1.75798955291299E+0000  6.80668722058765E-0001  1.75798955291299E+0000  6.80668722058765E-0001  1.75798955291299E+0000  6.80668722058765E-0001
 1.72503024805337E-0003  1.88881697573050E+0000  8.12139285924403E-0001  1.88881697573050E+0000  8.12139285924403E-0001  1.88881697573050E+0000  8.12139285924403E-0001
 1.82503205724061E-0003  1.21747010887222E+0000  1.00473780640851E+0000  1.21747010887222E+0000  1.00473780640851E+0000  1.21747010887222E+0000  1.00473780640851E+0000
 1.97503459639847E-0003  1.67832001977434E+0000  3.28986339813921E+0000  1.67832001977434E+0000  3.28986339813921E+0000  1.67832001977434E+0000  3.28986339813921E+0000
 2.17503821477294E-0003  1.03584254053834E+0000  2.84073791925730E+0000  1.03584254053834E+0000  2.84073791925730E+0000  1.03584254053834E+0000  2.84073791925730E+0000
 2.37504160031676E-0003  1.08596482362120E+0000  2.30779623867588E+0000  1.08596482362120E+0000  2.30779623867588E+0000  1.08596482362120E+0000  2.30779623867588E+0000
 2.57504521869123E-0003  1.04919022920551E+0000  3.96573548970421E+0000  1.04919022920551E+0000  3.96573548970421E+0000  1.04919022920551E+0000  3.96573548970421E+0000
 2.77504860423505E-0003  1.88439760340961E+0000  1.68616946513752E+0000  1.88439760340961E+0000  1.68616946513752E+0000  1.88439760340961E+0000  1.68616946513752E+0000
 2.97505222260952E-0003  1.87362716694988E+0000  1.43023314585265E+0000  1.87362716694988E+0000  1.43023314585265E+0000  1.87362716694988E+0000  1.43023314585265E+0000
 3.17505560815334E-0003  1.13476309029227E+0000  2.24089711170174E+0000  1.13476309029227E+0000  2.24089711170174E+0000  1.13476309029227E+0000  2.24089711170174E+0000
 3.37505922652781E-0003  1.55245307694133E+0000  2.11415267202301E+0000  1.55245307694133E+0000  2.11415267202301E+0000  1.55245307694133E+0000  2.11415267202301E+0000
 3.57506284490228E-0003  1.38136561026624E+0000  4.45767894458410E+0000  1.38136561026624E+0000  4.45767894458410E+0000  1.38136561026624E+0000  4.45767894458410E+0000
 3.77506623044610E-0003  1.80982613604988E+0000  1.14119917619276E+0000  1.80982613604988E+0000  1.14119917619276E+0000  1.80982613604988E+0000  1.14119917619276E+0000
 4.07507130876184E-0003  1.45437901748804E+0000  3.95192001547520E+0000  1.45437901748804E+0000  3.95192001547520E+0000  1.45437901748804E+0000  3.95192001547520E+0000
 4.47507854551077E-0003  1.13605202762925E+0000  2.88989103565642E+0000  1.13605202762925E+0000  2.88989103565642E+0000  1.13605202762925E+0000  2.88989103565642E+0000
 4.87508531659842E-0003  1.32623970414420E+0000  3.42471249272500E+0000  1.32623970414420E+0000  3.42471249272500E+0000  1.32623970414420E+0000  3.42471249272500E+0000
 5.27509255334735E-0003  1.50548444136316E+0000  2.24151739734156E+0000  1.50548444136316E+0000  2.24151739734156E+0000  1.50548444136316E+0000  2.24151739734156E+0000
